model_name,model_description,date_created
MobileNetV2_2048_PCA128-olov,"Pretrained MobileNetV2 on imagenet weights retrained using an intermediate dense 2048 layer with numerical features with colourway (Onyx, Black, White, Red, etc.) tags and title tags (Jordan, 11, Nike, Air, Force, 1, etc.) included with a PCA dimension reduction down to 128",2023-09-14 14:31:40
MobileNetV2_2048_PCA256-zrzb,"Pretrained MobileNetV2 on imagenet weights retrained using an intermediate dense 2048 layer with numerical features with colourway (Onyx, Black, White, Red, etc.) tags and title tags (Jordan, 11, Nike, Air, Force, 1, etc.) included with a PCA dimension reduction down to 128",2023-09-14 14:31:58
