id,prod_id,model,total
2467,655,Mid,113
2468,655,SE,41
2469,656,Nike,373
2470,656,Dunk,178
2471,656,High,115
2472,657,Jordan,383
2473,657,1,310
2474,657,Retro,224
2475,657,High,115
2476,658,Jordan,383
2477,658,6,20
2478,658,Retro,224
2479,659,Vans,1
2480,659,Old,1
2481,659,Skool,1
2482,660,Jordan,383
2483,660,1,310
2484,660,Retro,224
2485,660,High,115
2486,660,OG,39
2487,661,Jordan,383
2488,661,11,17
2489,661,Retro,224
2490,662,Nike,373
2491,662,Hot,2
2492,662,Step,2
2493,662,Air,140
2494,662,Terra,2
2495,663,Nike,373
2496,663,Air,140
2497,663,More,4
2498,663,Uptempo,4
2499,663,96,2
2500,664,New,57
2501,664,Balance,57
2502,664,2002R,13
2503,665,Jordan,383
2504,665,11,17
2505,665,Retro,224
2506,665,Low,278
2507,666,adidas,126
2508,666,Yeezy,92
2509,666,Boost,48
2510,666,700,14
2511,666,V2,32
2512,667,adidas,126
2513,667,NMD,3
2514,667,R1,2
2515,667,Primeblue,2
2516,668,Nike,373
2517,668,Dunk,178
2518,668,Low,278
2519,669,Jordan,383
2520,669,5,22
2521,669,Retro,224
2522,670,Nike,373
2523,670,Dunk,178
2524,670,High,115
2525,671,Jordan,383
2526,671,12,10
2527,671,Retro,224
2528,672,Converse,9
2529,672,One,4
2530,672,Star,2
2531,672,Ox,2
2532,673,Jordan,383
2533,673,1,310
2534,673,Low,278
2535,673,SE,41
2536,674,adidas,126
2537,674,Yeezy,92
2538,674,500,6
2539,675,New,57
2540,675,Balance,57
2541,675,550,26
2542,676,New,57
2543,676,Balance,57
2544,676,992,1
2545,677,Jordan,383
2546,677,4,31
2547,677,Retro,224
2548,678,adidas,126
2549,678,Yeezy,92
2550,678,700,14
2551,678,V3,8
2552,679,Jordan,383
2553,679,1,310
2554,679,Low,278
2555,680,adidas,126
2556,680,Yeezy,92
2557,680,700,14
2558,680,V3,8
2559,681,Nike,373
2560,681,SB,23
2561,681,Dunk,178
2562,681,High,115
2563,682,Nike,373
2564,682,Dunk,178
2565,682,High,115
2566,683,New,57
2567,683,Balance,57
2568,683,990v3,3
2569,684,Jordan,383
2570,684,4,31
2571,684,Retro,224
2572,684,Golf,10
2573,685,Jordan,383
2574,685,1,310
2575,685,Mid,113
2576,685,SE,41
2577,686,Nike,373
2578,686,Kyrie,4
2579,686,Flytrap,1
2580,686,4,31
2581,687,Nike,373
2582,687,Classic,4
2583,687,Cortez,6
2584,688,Nike,373
2585,688,Kyrie,4
2586,688,Low,278
2587,688,5,22
2588,689,Nike,373
2589,689,Dunk,178
2590,689,Low,278
2591,690,Nike,373
2592,690,Air,140
2593,690,Max,55
2594,690,90,9
2595,691,Jordan,383
2596,691,1,310
2597,691,Retro,224
2598,691,AJKO,3
2599,692,Nike,373
2600,692,Dunk,178
2601,692,High,115
2602,693,Jordan,383
2603,693,3,19
2604,693,Retro,224
